1608	1
1587	2
1591	3
32	4
1575	5
1740	6
1588	7
1574	8
1605	9
1604	10
1705	11
1578	12
1722	13
1586	14
1576	15
1606	16
1746	17
1662	18
10	19
1601	20
1585	21
1729	22
1583	23
1593	24
1602	25
1748	26
1548	27
1582	28
42	29
40	30
41	31
1589	32
1579	33
1581	34
1580	35
1619	36
1590	37
1670	38
1592	39
1711	40
1611	41
1726	42
1657	43
1616	44
45	45
1672	46
1584	47
1594	48
49	49
52	50
50	51
56	52
1569	53
1570	54
1567	55
8221	56
1617	57
1572	58
1681	59
51	60
57	61
55	62
54	63
48	64
1648	65
53	66
1614	67
1747	68
8217	69
34	70
39	71
33	72
1571	73
58	74
8216	75
1615	76
8220	77
1553	78
1620	79
44	80
59	81
83	82
101	83
120	84
69	85
100	86
117	87
99	88
97	89
116	90
105	91
111	92
110	93
1730	94
1552	95
47	96
1731	97
1618	98
65010	99
65157	100
65	101
73	102
1554	103
1785	104
1777	105
1640	106
1783	107
1776	108
1781	109
8207	110
1644	111
1550	112
1555	113
1778	114
1638	115
1780	116
1688	117
1563	118
8230	119
8204	120
46	121
115	122
114	123
70	124
102	125
118	126
108	127
1610	128
82	129
98	130
121	131
91	132
93	133
1779	134
65279	135
112	136
80	137
103	138
109	139
66	140
77	141
119	142
89	143
75	144
